商品No,製品名,形状,サイズ(g),入数,単価,1c/s単価,2c/s単価,3c/s単価,4c/s単価,タイプabc
10108,全卵,タリアテッレ,80,64,64,0,0,0,0,プレーン
10109,全卵,タリアテッレ,90,60,68,0,0,0,0,プレーン
10110,全卵,タリアテッレ,100,56,73,0,0,0,0,プレーン
10111,全卵,タリアテッレ,110,52,79,0,0,0,0,プレーン
10112,全卵,タリアテッレ,120,48,85,0,0,0,0,プレーン
10113,全卵,タリアテッレ,130,45,91,0,0,0,0,プレーン
10114,全卵,タリアテッレ,140,42,98,0,0,0,0,プレーン
10115,全卵,タリアテッレ,150,40,102,0,0,0,0,プレーン
10116,全卵,タリアテッレ,160,37,0,4080,3840,3733,3600,特注品
10118,全卵,タリアテッレ,180,33,0,4080,3840,3733,3600,特注品
10119,全卵,タリアテッレ,1000,8,0,4960,4720,4560,0,カラー
10170,全卵,タリアテッレ,130,60,0,0,0,0,0,特注品
10189,全卵,タリアテッレ,120,66,0,0,0,0,0,特注品
10197,全卵,タリアテッレ,100,80,0,5180,4955,4900,4700,特注品
10198,全卵,タリアテッレ,100,2,0,0,0,0,0,サンプル
10199,全卵,タリアテッレ,80,100,0,0,0,0,0,特注品
10208,全卵,フェットチーネ,80,64,64,0,0,0,0,プレーン
10209,全卵,フェットチーネ,90,60,68,0,0,0,0,プレーン
10210,全卵,フェットチーネ,100,56,73,0,0,0,0,プレーン
10211,全卵,フェットチーネ,110,52,79,0,0,0,0,プレーン
10212,全卵,フェットチーネ,120,48,85,0,0,0,0,プレーン
10213,全卵,フェットチーネ,130,45,91,0,0,0,0,プレーン
10214,全卵,フェットチーネ,140,42,98,0,0,0,0,プレーン
10215,全卵,フェットチーネ,150,40,102,0,0,0,0,プレーン
10216,全卵,フェットチーネ,160,37,0,4080,3840,3733,3600,特注品
10222,全卵,フェットチーネ,120,66,0,0,0,0,0,特注品
10229,全卵,フェットチーネ,1000,8,0,0,0,0,0,カラー
10260,全卵,フェットチーネ,130,60,0,0,0,0,0,特注品
10278,全卵,フェットチーネ,140,60,0,0,0,0,4935,特注品
10281,EGG,ＥＧＧ型（印字有）,130,45,0,0,0,0,0,特注品
10289,全卵,フェットチーネ,100,80,0,0,0,0,0,特注品
10297,全卵,フェットチーネ,1000,8,0,0,0,0,0,特注品
10298,全卵,フェットチーネ,100,2,0,0,0,0,0,サンプル
10299,全卵,フェットチーネ,80,100,0,0,0,0,0,特注品
10308,全卵,タリオリーニ,80,64,64,0,0,0,0,プレーン
10309,全卵,タリオリーニ,90,60,68,0,0,0,0,プレーン
